선박용도(통계용),사건명,위도,경도
기타선,예선 2002경일호의 피예인선 제7청해호 작업자부상사건,34.83527778,128.4313889
기타선,통선 신하30호 기관손상사건,37.43777778,126.5841667
기타선,기타선 2진양호 기관손상사건,37.13333333,129.4666667
기타선,기타선 청해3호 운항저해사건,36.28944444,126.2622222
기타선,도선 한바다호 좌초사건,37.77777778,125.9769444
기타선,기타선 씨와이2호 좌초사건,34.32194444,126.1513889
기타선,기타선 홍준호 등 2척 운항저해사건,36.35833333,129.3819444
기타선,기타선 한동1호 침수사건 ,33.44,126.925
기타선,도선 한바다호 기관손상사건,37.60916667,125.9411111
기타선,유선 인하20호 침수사건,37.49083333,126.6238889
기타선,기타선 대한호 해양오염사건,37.49055556,126.6205556
기타선, 예인선 제37신흥호의 피예인부선 8001신흥호ㆍ어선 동해호 충돌사건,36.67333333,129.4552778
기타선,케이블감시선 한동1호 기관손상사건,33.33333333,127.0833333
기타선,앵카작업선 해륙에이1호 침몰사건,35.105,129.0588889
기타선,무등록선박 제102광진호 침수사건,34.80666667,126.3636111
기타선,기타선 부산234호 부유물감김사건,37.41666667,129.2
기타선,기타선 성진호 화재사건,35.09555556,128.5533333
기타선,기타선 서진호 부유물감김사건,34.92416667,128.5430556
기타선,도선선 청해호 안전저해사건,37.44361111,129.1994444
기타선,도선 대장도호 운항저해사건,34.68583333,125.4383333
기타선,기타선 신원7호 침수사건,34.81472222,127.4111111
기타선,기타선 사마리아호 기타사건,34.83027778,128.4305556
기타선,통선 현대7호 추진축계손상사건,35.41666667,129.45
기타선,어선 현덕호.선명미상 부선 충돌사건,34.72027778,127.6944444
기타선,기타선 해성3호 조타장치손상사건,34.70055556,127.8336111
기타선,기타선 동남호 침몰사건,35.20361111,128.5833333
기타선,기타선 신성호 기관손상사건,36.95,129.5
기타선,유조선 대영호·통선 아세아1호 등 4척 충돌사건,35.50083333,129.3769444
기타선,기타선 한바다호 화재사건,34.80388889,126.3552778
기타선,기타선 코리아108호 좌초사건,35.46666667,129.4
기타선,기타선 금성호 침수사건,35.04722222,129.0025
기타선,통선 아세아5호 기관손상사건,35.52861111,129.3777778
기타선,도선 대장도호 부유물감김사건,34.68333333,125.4333333
기타선,기타선 탐구16호 등 2척 운항저해사건,34.92416667,128.0952778
기타선,기타선 장보고호 침수사건,34.31527778,126.7555556
기타선,측량선 케이오션1호 기관손상사건,36.03333333,126.3333333
기타선,어선 제7번창호  통선 아세아6호 충돌사건,35.45,129.4447222
기타선,통선 백조3호 기관손상사건,35.41305556,129.4436111
기타선,기타선 에스피피-91(SPP-91)호 기관손상사건,34.9,128.4333333
기타선,기타선 푸르미3호 기관손상사건,34.91666667,126.1666667
기타선,유조선 대영호·통선 아세아1호 등 4척 충돌사건,35.50083333,129.3769444
기타선,예인선 조광12호 · 통선 백조7호 충돌사건,35.46416667,129.3683333
기타선,통선 혜성2호 좌초사건,35.11333333,128.6875
기타선,유조선 온타리오(ONTARIO) 시운전자 사망사건,35.44166667,129.4555556
기타선,기타선 3용비호.어선 제일호 충돌사건,34.91111111,127.7047222
기타선,순찰선 해양2호 화재사건,37.55888889,126.6069444
기타선,기타선 105해금호 추진축계손상사건,37.25194444,126.5041667
기타선,통선 제2한진호 침수사건,35.095,128.6616667
기타선,통선 진산3호 기관손상사건,35.4975,129.3886111
기타선,기타선 태화7호 화재사건,35.45,129.4
기타선,기타선 독수리호 작업용부이 접촉사건,35.09722222,128.65
기타선,유조선 제3조일호화물선 토파즈 에이스(TOPAZ ACE)충돌 사건,35.00416667,129.0930556
기타선,해양조사선 선영2호 침수사건,34.2,126.65
기타선,통선 코리코5호 · 통선 케이에스5호 충돌사건,35.10388889,129.0383333
기타선,통선 코리코5호 · 통선 케이에스5호 충돌사건,35.10388889,129.0383333
기타선,통선 KS 5(케이에스 5)호 침몰사건,35.10416667,129.0383333
기타선,기타선 세진1호 운항저해사건,36.43333333,126.4833333
기타선,기타선 해양공간1호 기관손상사건,34.83833333,126.1883333
기타선,기타선 환경10호 조타장치손상사건,34.88333333,126.1333333
기타선,유조선 대영호·통선 아세아1호 등 4척 충돌사건,35.50083333,129.3769444
기타선,기타선 제1마린호 부유물감김사건,37.33166667,126.0216667
기타선,기타선 세한항업호 좌초사건,35.11194444,126.0569444
기타선,통선 7우양호 좌초사건,34.72388889,127.7161111
기타선,기타선 제1마린호 기관손상사건,34.41666667,127.0216667
기타선, 일반화물선 미래15호 등 3척 충돌사건,37.46027778,130.8766667
기타선,기타선 영스타호 화재사건,34.73722222,127.7461111
기타선,기타선 태창1호 기관손상사건,35.45,129.4
기타선,기타선 새파란호 침수사건,37.31027778,126.6030556
기타선,통선 현대11호 침몰사건,37.35777778,126.6175
기타선,어장관리선 대영호 기관손상사건,34.71222222,128.4375
기타선,기타작업선 가야호 운항저해사건,35.47083333,129.3919444
기타선,기타선 가야호 침몰사건,35.50361111,129.3669444
기타선,통선 77거양호 부유물감김사건,37.07166667,126.4086111
기타선,도선 이파1호 기관손상사건,36.99388889,126.7166667
기타선,도선선 이파1호 부유물감김사건,36.99083333,126.7263889
기타선,도선 금강호 기관손상사건,35.97055556,126.4655556
기타선,도선선 보라매호 좌초사건,35.05666667,128.6641667
기타선,기타선 강남호 조타장치손상사건,37.34166667,126.6363889
기타선,통선 케이에스9호 침몰사건,35.10222222,129.0391667
기타선,통선 서해호 운항저해사건,35.94,126.5325
기타선,기타선 제2신화호·어선 제11만물호 충돌사건,35.10666667,128.6827778
기타선,통선 콜스3호 기관손상사건,34.86333333,128.7277778
기타선,기타선 제2신화호 부유물감김 사건,35.05777778,128.6383333
기타선,측량선 성산2호 기관손상사건,36.18333333,126.35
기타선,시험조사선 뉴제주호 낚시어선 뉴백마린호 충돌사건,33.27138889,126.6594444
기타선,도선선 선진2호 부유물감김사건,36.88777778,126.1677778
기타선,통선 제2신화호 화재사건,35.105,128.6816667
기타선,도선선 선진3호 기관손상사건,37.06611111,126.3166667
기타선,도선선 이파7호 부유물감김사건,37.12666667,126.5355556
기타선,도선 이파8호 기관손상사건,37.06055556,126.3094444
기타선,통선 성림호 기관손상사건,37.02027778,126.3080556
기타선,통선 75해동호 침수사건,35.38361111,126.4088889
기타선,통선 제1동양호 승객사망사건,34.63916667,127.9672222
기타선,기타선 광성5호 침몰사건,35.50138889,129.3688889
기타선,예인선 77해동호 등 2척 침수사건,35.38416667,126.4097222
기타선,기타선 대성호 침몰사건,37.18638889,126.6491667
기타선,도선선 인천2호 화재사건,37.4175,126.5677778
기타선,무등록선박 승리호 침수사건,34.68666667,125.4472222
기타선,도선선 인천10호 좌초사건,37.16222222,126.2938889
기타선,기타선 대성1호 운항저해사건,37.17722222,126.6527778
기타선,도선 이파2호 기관손상사건,37.06055556,126.3094444
기타선,기타선 전남104호 부유물감김사건,34.19944444,126.5166667
기타선,기타선 전남104호 침수사건,34.31722222,126.7533333
기타선,기타선 창원호 침수사건,34.78333333,126.4019444
기타선,모터보트 라운지 부유물감김으로 인한 좌초사건,33.23361111,126.3525
기타선,용달선 대성103호 기관손상 사건,35.46888889,129.45
기타선,유선 바다누리호 부두접촉사건,37.18333333,126.6427778
기타선,예인선 대진1호 · 기타선 영남501호 충돌사건,35.43833333,129.3558333
기타선,어선 제7순복호기타선 오션11호 충돌사건,34.3225,126.7494444
기타선,기타선 평택2호 침몰사건,36.99638889,126.7947222
기타선,기타선 오션11호 부유물감김사건,34.13333333,126.2333333
기타선,통선 신진호 침수사건,35.96666667,126.6166667
기타선,통선 명진호 기관손상사건,35.1,129.1666667
기타선,기타선 신안브라보호 화재사건,34.72166667,126.2080556
기타선,기타선 태양호 화재사건,34.80694444,126.3633333
기타선,기타선 명선호 기관손상사건,37,129.4833333
기타선,무등록선박 백송호 선원실종사건,34.45333333,127.8083333
기타선,기타선 덕창1호 등 2척 기타사건,35.43694444,129.3844444
기타선,청항선 107동승호 기관손상사건,35.01194444,128.81
기타선,시험조사선 국립공원301호 화재사건,34.31638889,126.7541667
기타선,기타선 대경33호 운항저해사건,35.45,129.4166667
기타선,기타선 7세진호 화재사건,34.69527778,127.5575
기타선,기타선 전남103호 기관손상사건,34.63722222,127.7077778
기타선,통선 서울2호 침수사건,37.39277778,126.3188889
기타선,기타선 홍익더불어호 조타장치손상사건,35,125.1666667
기타선,"플레저보트 홍익더불어호, 낚시어선 가마우지호 충돌사건",35.83777778,126.4875
기타선,기타선 진양호 기관손상사건,37.71666667,129.0333333
기타선,기타선 충장7호 기관손상사건,34.65777778,126.2416667
기타선,기타선 삼선20호 부유물감김사건,36.31027778,126.4841667
기타선,부선 해룡준설1호 좌초사건,37.32444444,129.2688889
기타선,도선선 국화훼리호 기관손상사건,37.03888889,126.5613889
기타선,도선 국화훼리호 기관손상사건,37.04194444,126.5661111
기타선,도선 국화훼리호 기관손상사건,37.05527778,126.5597222
기타선,시험조사선 국립공원201호 운항저해사건,36.61527778,126.3505556
기타선,기타작업선 대상7호 침수사건,35.50805556,129.355
기타선,기타선 독도호 기관손상사건,37.7,129.0333333
기타선,급수선 제7항운호 전복사건,35.06138889,129.0355556
기타선,방제선 107선경호 기관손상사건,35.16444444,129.1977778
기타선,기타선 장보고호.어선 6대원호 충돌사건,34.74833333,127.7683333
기타선,기타선 태평양호 부유물감김사건,34.60083333,127.9844444
기타선,어선 62대동호.기타선 이순신호 충돌사건,34.73527778,127.7502778
기타선,유조선 대영호·통선 아세아1호 등 4척 충돌사건,35.50083333,129.3769444
기타선,용달선 제101세진호 전복사건,35.41666667,129.3833333
기타선,통선 성진호 해양오염사건,35.50083333,129.3686111
기타선,"준설선 세진호, 어선 평산호 충돌사건",34.73666667,127.7419444
기타선,작업선 7금성호 화재사건,34.73305556,127.7444444
기타선,기타선 천해2020호 기관손상사건,35.60305556,126.4527778
기타선,원유운반선 삼우2호 기관손상사건,37.38333333,126.55
기타선,유선 제3용진호 부유물감김사건,37.2525,126.5016667
기타선,산적화물선 수니호 기타선 대국2호의 무등록 피예인부선 충돌사건,33.23194444,126.5672222
기타선,기타선 충남207호 침수사건,37.45777778,126.6008333
기타선,기타선 제103세진호 기관손상사건,35.43888889,129.4138889
기타선,통선 서울5호 선원부상사건,37.03916667,126.1186111
기타선,관공선 경남237호 화재사건,34.67055556,128.5005556
기타선,통선 대동2호 작업원부상사건,37.01583333,126.4263889
기타선,유선 선유페리1호 침몰사건,34.74083333,127.7591667
기타선,관공선 강원397호 침수사건,37.49666667,129.1441667
