id,left,top,right,bottom
3543,873114.896500000031665,1836586.000299999956042,881114.896500000031665,1825586.000299999956042
3545,873114.896500000031665,1814586.000299999956042,881114.896500000031665,1803586.000299999956042
3547,873114.896500000031665,1792586.000299999956042,881114.896500000031665,1781586.000299999956042
3548,873114.896500000031665,1781586.000299999956042,881114.896500000031665,1770586.000299999956042
3552,873114.896500000031665,1737586.000299999956042,881114.896500000031665,1726586.000299999956042
3556,873114.896500000031665,1693586.000299999956042,881114.896500000031665,1682586.000299999956042
3557,873114.896500000031665,1682586.000299999956042,881114.896500000031665,1671586.000299999956042
3559,873114.896500000031665,1660586.000299999956042,881114.896500000031665,1649586.000299999956042
3560,873114.896500000031665,1649586.000299999956042,881114.896500000031665,1638586.000299999956042
3563,873114.896500000031665,1616586.000299999956042,881114.896500000031665,1605586.000299999956042
3564,873114.896500000031665,1605586.000299999956042,881114.896500000031665,1594586.000299999956042
3566,873114.896500000031665,1583586.000299999956042,881114.896500000031665,1572586.000299999956042
3569,873114.896500000031665,1550586.000299999956042,881114.896500000031665,1539586.000299999956042
3572,873114.896500000031665,1517586.000299999956042,881114.896500000031665,1506586.000299999956042
3573,873114.896500000031665,1506586.000299999956042,881114.896500000031665,1495586.000299999956042
3574,873114.896500000031665,1495586.000299999956042,881114.896500000031665,1484586.000299999956042
3575,873114.896500000031665,1484586.000299999956042,881114.896500000031665,1473586.000299999956042
3577,873114.896500000031665,1462586.000299999956042,881114.896500000031665,1451586.000299999956042
3601,881114.896500000031665,1902586.000299999956042,889114.896500000031665,1891586.000299999956042
3605,881114.896500000031665,1858586.000299999956042,889114.896500000031665,1847586.000299999956042
3607,881114.896500000031665,1836586.000299999956042,889114.896500000031665,1825586.000299999956042
3610,881114.896500000031665,1803586.000299999956042,889114.896500000031665,1792586.000299999956042
3611,881114.896500000031665,1792586.000299999956042,889114.896500000031665,1781586.000299999956042
3615,881114.896500000031665,1748586.000299999956042,889114.896500000031665,1737586.000299999956042
3617,881114.896500000031665,1726586.000299999956042,889114.896500000031665,1715586.000299999956042
3620,881114.896500000031665,1693586.000299999956042,889114.896500000031665,1682586.000299999956042
3622,881114.896500000031665,1671586.000299999956042,889114.896500000031665,1660586.000299999956042
3623,881114.896500000031665,1660586.000299999956042,889114.896500000031665,1649586.000299999956042
3624,881114.896500000031665,1649586.000299999956042,889114.896500000031665,1638586.000299999956042
3625,881114.896500000031665,1638586.000299999956042,889114.896500000031665,1627586.000299999956042
3626,881114.896500000031665,1627586.000299999956042,889114.896500000031665,1616586.000299999956042
3632,881114.896500000031665,1561586.000299999956042,889114.896500000031665,1550586.000299999956042
3635,881114.896500000031665,1528586.000299999956042,889114.896500000031665,1517586.000299999956042
3636,881114.896500000031665,1517586.000299999956042,889114.896500000031665,1506586.000299999956042
3637,881114.896500000031665,1506586.000299999956042,889114.896500000031665,1495586.000299999956042
3638,881114.896500000031665,1495586.000299999956042,889114.896500000031665,1484586.000299999956042
3642,881114.896500000031665,1451586.000299999956042,889114.896500000031665,1440586.000299999956042
3660,889114.896500000031665,1957586.000299999956042,897114.896500000031665,1946586.000299999956042
3665,889114.896500000031665,1902586.000299999956042,897114.896500000031665,1891586.000299999956042
