선박용도(통계용),사건명,위도,경도
화물선,일반화물선 에스엠3호·석유제품운반선 코도쿠마루 충돌사건,33.94166667,130.8616667
화물선,일반화물선 에스케이1호 예인선 현진케이에스5 충돌사건,34.76388889,126.2861111
화물선,일반화물선 원진3호일반화물선 에스케이1호 충돌사건,33.41722222,126.2555556
화물선,일반화물선 온 타임 선원부상사건,36.81666667,126.0333333
화물선,화물선 세주 레드포스(SEJU REDFORCE)호  화물선 진 롱(JIN LONG) 충돌사건,35.08194444,128.9930556
화물선,일반화물선 퍼스트아이 등부표접촉사건,35.07194444,128.8086111
화물선,일반화물선 퍼스트아이호 선원사망사건,35.49,135.33
화물선,컨테이너선 리선 운항저해사건,35.03416667,128.4852778
화물선,화물선 티와이 엔젤(TY ANGEL) 기관손상사건,34.50861111,128.5925
화물선,일반화물선 진안호 운항저해사건,37.43194444,129.1963889
화물선,폐기물운반선 보광토파즈호 기관손상사건,35.45,129.3713889
화물선,모래채취운반선 2대복호 운항저해사건,34.71388889,126.3563889
화물선,일반화물선 토미카호 해양오염사건,36.01222222,129.4133333
화물선,일반화물선 하이유 · 일반화물선 오션스타 충돌,35.0575,129.0238889
화물선,"어선 제205익성호, 일반화물선 오리엔트 브라더 충돌사건",36.6,125.8666667
화물선,"산적화물선 에스 글로리아, 어선 제51동성호 충돌사건",36.05472222,129.4044444
화물선,산적화물선 에스글로리아호 해양오염사건,36.01361111,129.4038889
화물선,일반화물선 광양7호 조타장치손상사건,35.06277778,129.1330556
화물선,일반화물선 에스에스 진 선원부상사건,34.89916667,127.7008333
화물선,산적화물선 에스에스진호 해양오염사건,34.90944444,127.72
화물선,화물선 일현정호 해양오염사건,34.80138889,126.3588889
화물선,"산적화물선 일현정호, 어선 제2008성해호 충돌사건",34.33388889,127.32
화물선,어선 제2천양호 · 화물선 타이롱(TAI RONG) 16호 충돌사건,35.03333333,129.0666667
화물선,모래운반선 1대복호 해양오염사건,34.77333333,126.3963889
화물선,산적화물선 에스피원호 해양오염사건,37.62083333,129.0583333
화물선,일반화물선 민수호 좌초사건,36.77277778,125.9741667
화물선,산적화물선 두산11호 작업원부상사건,34.51944444,127.1405556
화물선,일반화물선 두산11호.예선 제3유진호 충돌사건,33.47416667,126.9291667
화물선,산물선 코호엔젤호 준설부표 접촉사건,34.89666667,127.6158333
화물선,일반화물선 원진3호일반화물선 에스케이1호 충돌사건,33.41722222,126.2555556
화물선,"일반화물선 원진3호, 어획물운반선 오키안(OKEAN) 충돌사건",37.49222222,129.1277778
화물선,산적화물선 원진3호 추진축계손상사건,37.09888889,129.4730556
화물선,화물선 제36대양호 기관손상사건,37.42972222,129.1991667
화물선,일반화물선 일출봉호.어획물운반선 리셩호 충돌사건,34.30388889,126.4816667
화물선,"일반화물선 도준 브레이브호, 어선 만검호 충돌사건",36.075,129.5033333
화물선,일반화물선 인롱 기관손상사건,35.98333333,126.6116667
화물선,액체화학품산적운반선 태경유노호 기관손상사건,35.975,126.4425
화물선,일반화물선 썬 포춘호 해양오염사건,36.01416667,129.4061111
화물선,"액체화학품산적운반선 케이에스 아도니스호, 일반화물선 동명러브호 충돌사건",37.00333333,126.7530556
화물선,산적화물선 성우제주호/일반화물선 금영레드포스호 충돌사건,34.77361111,126.3955556
화물선,화물선 제25금진호 ·낚시어선 부영호 충돌사건,34.81666667,128.9
화물선,일반화물선 25금진호 부두시설 접촉사건,34.83416667,127.7680556
화물선,모래운반선 해신호.어선 제303창남호 충돌사건,33.50166667,126.9316667
화물선,"액체화학품산적운반선 영진호, 어선 연근호 충돌사건",36.17166667,125.8405556
화물선,화물선 에스에이아라온호 기관손상사건,37.55722222,129.1341667
화물선,산적화물선 성우제주호/일반화물선 금영레드포스호 충돌사건,34.77361111,126.3955556
화물선,일반화물선 포스호 해양오염사건,33.41666667,126.2333333
화물선,"일반화물선 대호부산호, 일반화물선 통마오2 충돌사건",37.155,126.4666667
