선박용도(,사건명,위도,경도
어선,어선 홍풍1호 운항저해사건,37.020555559999998,126.639444400000002
어선,어선 별망호 기관손상사건,37.229999999999997,126.407499999999999
어선,어선 오성호 기관손상사건,37.233333330000001,126.500000000000000
어선,어선 정도호 운항저해사건,37.501944440000003,126.445277800000000
어선,어선 제2부광호 선원실종사건,37.436944439999998,126.313611100000003
어선,어선 돌고래호 기관손상사건,37.338611110000002,126.660555599999995
어선,어선 멤버스호 기관손상사건,37.241666670000001,126.509722199999999
어선,어선 태영호 추진축계손상사건,37.000000000000000,126.650000000000006
어선,어선 태영호 운항저해사건,37.053888890000003,126.415277799999998
어선,어선 태영호 기관손상사건,37.036388889999998,126.580833299999995
어선,어선 별망호 기관손상사건,37.216666670000002,126.416666699999993
어선,어선 별망호 기관손상사건,37.240555559999997,126.493055600000005
어선,어선 동백3호 부유물감김사건,37.149999999999999,126.516666700000002
어선,어선 동백3호 기관손상사건,37.128611110000001,126.509444400000007
어선,어선 경승호 기관손상사건,37.124444439999998,126.553611099999998
어선,어선 스피드호 부유물감김사건,37.331944440000001,126.529444400000003
어선,어선 길창호 좌초사건,37.433333330000004,126.366666699999996
어선,어선 상진호 운항저해사건,37.266666669999999,126.514166700000004
어선,어선 부흥1호 전복사건,37.189444440000003,126.646388900000005
어선,어선 상진호 기관손상사건,37.217777779999999,126.469166700000002
어선,어선 유선호 안전저해사건,37.399999999999999,126.583333300000007
어선,"낚시어선 낚시공원호, 고무보트 선명무 충돌사건",37.037222219999997,126.561944400000002
어선,어선 일출호 기관손상사건,37.454722220000001,126.356388899999999
어선,어선 덕성1호 전복사건,37.033055560000001,126.744722199999998
어선,어선 조원호 전복사건,37.323055560000000,126.655833299999998
어선,어선 건지2호 기관손상사건,37.234166670000000,126.393888899999993
어선,어선 대산호 기관손상사건,37.016111109999997,126.441666699999999
어선,어선 선상2호 화재사건,37.326388889999997,126.655000000000001
어선,어선 대영5호 기관손상사건,37.143888889999999,126.639722199999994
어선,어선 일광호 부유물감김사건,37.361111110000003,126.528333300000000
어선,어선 한포호 침수사건,37.340000000000003,126.688333299999996
어선,어선 제1은하호 화재사건,37.283333329999998,126.566666699999999
어선,어선 행승호 전복사건,37.030277779999999,126.598333299999993
어선,어선 순연호 기관손상사건,37.054444439999997,126.587500000000006
어선,어선 정성2호 기관손상사건,37.338888890000000,126.599999999999994
어선,어선 진영호 해양오염사건,37.043888889999998,126.551388900000006
어선,어선 경기호 화재사건,37.439999999999998,126.386388900000000
어선,양식장관리선 화성영어조합법인1호 침몰사건,37.115833330000001,126.677222200000003
어선,어선 진성호 운항저해사건,36.983333330000001,126.284722200000004
어선,어선 동성호 기관손상사건,37.113055559999999,126.632222200000001
어선,어선 영복1호 기관손상사건,37.278611110000000,126.437500000000000
어선,어선 영복1호 운항저해사건,37.287222219999997,126.446666699999994
어선,어선 장산호 침몰사건,37.358611109999998,126.431944400000006
어선,어선 현진호 부유물감김사건,37.002777780000002,126.690277800000004
어선,어선 대성호 좌초사건,37.185000000000002,126.647499999999994
어선,낚시어선 우리2호 전복사건,37.064444440000003,126.474166699999998
어선,낚시어선 해승5호 추진축계손상사건,37.216666670000002,126.391388899999995
어선,어선 제임스본1호 화재사건,37.410555559999999,126.418611100000007
어선,양식장관리선 가든2호 기관손상사건,37.157777780000004,126.588055600000004
어선,낚시어선 혜경호 기관손상사건,37.000555560000002,126.691111100000001
어선,어선 제2지정호 운항저해사건,37.316666669999996,126.549999999999997
어선,어선 해성호 부유물감김사건,37.011388889999999,126.678611099999998
어선,어선 선상호 침수사건,37.346388890000000,126.686944400000002
어선,어선 병기호 전복사건,37.045833330000001,126.534722200000004
어선,어선 실로암호 화재사건,37.383333329999999,126.344722200000007
어선,어선 대성호 부유물감김사건,37.341944439999999,126.226666699999996
어선,어선 태진수산호 부유물감김사건,37.118055560000002,126.593333299999998
어선,"어선 일광호, 어선 항구2호 충돌사건",37.081111110000002,126.365833300000006
어선,어선 제부호 추진축계손상사건,37.049999999999997,126.633333300000004
어선,어선 명신호 침수사건,37.343888890000002,126.645833300000007
어선,어선 성원호 기관손상사건,37.216666670000002,126.450000000000003
어선,어선 일광호 부유물감김사건,37.337222220000001,126.453333299999997
어선,"예인선 76해동호의 피예인부선 대원105호, 어선 인광호 충돌사건",37.434444440000000,126.593333299999998
어선,어선 일광호 침수사건,37.466944439999999,126.320833300000004
어선,어선 지평선호 기관손상사건,37.328055560000003,126.533055599999997
어선,어선 장구섬호 추진축계손상사건,37.141111109999997,126.098333299999993
어선,어선 장구섬호 기관손상사건,37.000000000000000,126.283333299999995
