id,left,top,right,bottom
362,890163.511000000056811,1957064.378900000127032,893163.511000000056811,1954064.378900000127032
369,890163.511000000056811,1936064.378900000127032,893163.511000000056811,1933064.378900000127032
370,890163.511000000056811,1933064.378900000127032,893163.511000000056811,1930064.378900000127032
371,890163.511000000056811,1930064.378900000127032,893163.511000000056811,1927064.378900000127032
372,890163.511000000056811,1927064.378900000127032,893163.511000000056811,1924064.378900000127032
374,890163.511000000056811,1921064.378900000127032,893163.511000000056811,1918064.378900000127032
377,890163.511000000056811,1912064.378900000127032,893163.511000000056811,1909064.378900000127032
378,890163.511000000056811,1909064.378900000127032,893163.511000000056811,1906064.378900000127032
379,890163.511000000056811,1906064.378900000127032,893163.511000000056811,1903064.378900000127032
381,890163.511000000056811,1900064.378900000127032,893163.511000000056811,1897064.378900000127032
382,890163.511000000056811,1897064.378900000127032,893163.511000000056811,1894064.378900000127032
383,890163.511000000056811,1894064.378900000127032,893163.511000000056811,1891064.378900000127032
384,890163.511000000056811,1891064.378900000127032,893163.511000000056811,1888064.378900000127032
385,893163.511000000056811,1960064.378900000127032,896163.511000000056811,1957064.378900000127032
390,893163.511000000056811,1945064.378900000127032,896163.511000000056811,1942064.378900000127032
391,893163.511000000056811,1942064.378900000127032,896163.511000000056811,1939064.378900000127032
392,893163.511000000056811,1939064.378900000127032,896163.511000000056811,1936064.378900000127032
393,893163.511000000056811,1936064.378900000127032,896163.511000000056811,1933064.378900000127032
394,893163.511000000056811,1933064.378900000127032,896163.511000000056811,1930064.378900000127032
395,893163.511000000056811,1930064.378900000127032,896163.511000000056811,1927064.378900000127032
396,893163.511000000056811,1927064.378900000127032,896163.511000000056811,1924064.378900000127032
397,893163.511000000056811,1924064.378900000127032,896163.511000000056811,1921064.378900000127032
398,893163.511000000056811,1921064.378900000127032,896163.511000000056811,1918064.378900000127032
399,893163.511000000056811,1918064.378900000127032,896163.511000000056811,1915064.378900000127032
400,893163.511000000056811,1915064.378900000127032,896163.511000000056811,1912064.378900000127032
401,893163.511000000056811,1912064.378900000127032,896163.511000000056811,1909064.378900000127032
403,893163.511000000056811,1906064.378900000127032,896163.511000000056811,1903064.378900000127032
405,893163.511000000056811,1900064.378900000127032,896163.511000000056811,1897064.378900000127032
